Router and Switch Optical&Electrical Module Report,,,,,,,,,,,,,,,,,,,80,10GBase-SR,,,,,,,,,,,,850,,,,,,,,
Save Time:2025-05-22 14:23:22,,,,,,,,,,,,,,,,,,,300,10GBase-SR,,,,,,,,,,,,850,,,,,,,,
User Name:tempuno,,,,,,,,,,,,,,,,,,,400,10GBase-SR,,,,,,,,,,,,850,,,,,,,,
"Total Num 2,005",,,,,,,,,,,,,,,,,,,500,10GBase-SR,,,,,,,,,,,,850,,,,,,,,
,,,,,,,,,,,,,,,,,,,10000,10GBase-LR,,,,,,,,,,,,1310,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,40000,10GBase-ER,,,,,,,,,,,,1550,,,,,,,,
"Total 1,868 Records",,,,,,,,,,,,,,,,,,,80000,10GBase-ZX,แก้ไข excel error,,,,,,,,,,,1550,,,,,,,,
Clear space in S/N always,,,,,,,,,,,,,,,,,,,100,1GBase-LX,,,,,,,,,,,,,,,,,,,,
Serial No.,Optical/Electrical Type,NE Name,Port Name,Port Description,Port Type,Receive Optical Power(dBm),Reference Receive Optical Power (dBm),Reference Receive Time,Receive Status,Upper Threshold for Receive Optical Power(dBm),Lower Threshold for Receive Optical Power(dBm),Transmit Optical Power(dBm),Reference Transmit Optical Power (dBm),Reference Transmit Time,Transmit Status,Upper Threshold for Transmit Optical Power(dBm),Lower Threshold for Transmit Optical Power(dBm),Transceiver Mode,Speed(Mb/s),Wave Length(nm),Transmission Distance(m),Fiber Type,Manufacturer,Optical Mode Authentication,Port Remark,Port Custom Column,OpticalDirectionType,Vendor PN,Model,Rev(Issue Number),PN(BOM Code/Item),SFP-Type,,Concatinate,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,301,314,314,314,314,314,314,314,314,0,314,0,314,314,314,314,
032VHVNMKC000158,SFPPLUS,C1_DC_NE8K_1_HQ,GigabitEthernet0/3/0,C1_ACN1_L067=C1_DC_NE8K_1_HQ 10GE0/3/0-to-C1_BMA_NE08_1_SS 10GE0/2/1,Ethernet,-11.05,--,--,Normal,-7,-24.08,1.68,--,--,Normal,3.99,0,SingleMode,10000,1550,80000,LC,HISILICON,Unknown,--,--,--,OM9282ZX2A,--,--,34060672-001,10GBase-ZX,,C1_DC_NE8K_1_HQ-GigabitEthernet0/3/0,,ศูนย์ข้อมูล (Data Center) ,Ph#3,IP Access Data Center 2,Not Match,
N33A5Q03630,SFPPLUS,C1_DC_NE8K_1_HQ,GigabitEthernet0/4/0,C1_ACN1_L069=C1_DC_NE8K_1_HQ 10GE0/4/0-to-C1_DC_NE08_1_HQ 10GE0/2/0,Ethernet,-4.78,--,--,Normal,-1,-9.9,-2.61,--,--,Normal,-1,-7.3,MultiMode,10000,850,300,LC,Hisense,Unknown,--,--,--,LTF8502-BC+,--,--,34060494,10GBase-SR,,C1_DC_NE8K_1_HQ-GigabitEthernet0/4/0,,IP Access Data Center 2,Ph#4,IP Access Data Center 2,Match,
N33A5Q03577,SFPPLUS,C1_DC_NE8K_1_HQ,GigabitEthernet0/4/1,--,Ethernet,-40,--,--,Critical Alert,-1,-9.9,-2.5,--,--,Normal,-1,-7.3,MultiMode,10000,850,300,LC,Hisense,Unknown,--,--,--,LTF8502-BC+,--,--,34060494,10GBase-SR,,C1_DC_NE8K_1_HQ-GigabitEthernet0/4/1,,IP Access Data Center 2,Ph#4,IP Access Data Center 2,Match,
MB20201832730,SFPPLUS,C1_SMC_NE8K_1_HQ,GigabitEthernet0/3/0,C1_ACN1_L071=C1_SMC_NE8K_1_HQ 10GE0/3/0-to-C1_EO_NE08_1_HQ 10GE0/2/1,Ethernet,-3.56,--,--,Normal,0.49,-14.4,-3.31,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,34060742,10GBase-LR,,C1_SMC_NE8K_1_HQ-GigabitEthernet0/3/0,,IP Access SMC 2,Ph#4,IP Access SMC 2,Match,
N33A4Q69291,SFPPLUS,C1_SMC_NE8K_1_HQ,GigabitEthernet0/3/1,C1_ACN1_L072=C1_SMC_NE8K_1_HQ 10GE0/3/1-to-C1_NE08_1_SMC_HQ 10GE0/4/0,Ethernet,-2.63,--,--,Normal,-1,-9.9,-2.74,--,--,Normal,-1,-7.3,MultiMode,10000,850,300,LC,Hisense,Unknown,--,--,--,LTF8502-BC+,--,--,34060494,10GBase-SR,,C1_SMC_NE8K_1_HQ-GigabitEthernet0/3/1,,IP Access SMC 2,Ph#4,IP Access SMC 2,Match,
