Frame Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:21:40 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 653,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,Subrack Name,Subrack Type,NE ID,NE IP Address,Software Version,SN(Bar Code),Subnet,Subnet Path,Subrack ID,Subrack Status,Subrack Alias,PN(BOM Code),Description,Manufactured On,Equipment Room Name,Rack Name,Subrack Number,Remarks,Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,0,653,653,653,653,653
C1_SS_OKA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57169,10.10.0.37,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000028,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf43c54-ac06-11ea-9e76-24a52ca945ea,"NE=3145760,FR=1",,0,Ph#1,สฟฟ.องครักษ์,Not Match,C1
C1_SS_WYA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57214,10.10.0.40,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000043,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-26,,,,,,4bf43c55-ac06-11ea-9e76-24a52ca945ea,"NE=3145763,FR=1",,0,Ph#1,สฟฟ.วังน้ำเย็น,Not Match,C1
C2_SS_KAA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57154,10.10.0.45,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H6000003,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-06-01,,,,,,4bf43c57-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1",,0,Ph#1,สฟฟ.แกลง 1,Not Match,C2
C3_SS_BPB_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57361,10.10.0.50,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H6000006,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-06-10,,,,,,4bf43c5a-ac06-11ea-9e76-24a52ca945ea,"NE=3145774,FR=1",,0,Ph#1,สฟฟ.บ้านโป่ง 2,Not Match,C3
C2_SS_CTA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57156,10.10.0.44,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H6000005,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-06-10,,,,,,4bf43c5b-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1",,0,Ph#1,สฟฟ.จันทบุรี,Not Match,C2
C2_SS_RAC_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57189,10.10.0.47,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000037,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-25,,,,,,4bf43c5c-ac06-11ea-9e76-24a52ca945ea,"NE=3145768,FR=1",,0,Ph#1,สฟฟ.ระยอง 3,Not Match,C2
C1_SS_SNA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57173,10.10.0.39,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000026,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf43c5e-ac06-11ea-9e76-24a52ca945ea,"NE=3145762,FR=1",,0,Ph#1,สฟฟ.เสนา,Not Match,C1
C1_SS_NSI_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57208,10.10.0.38,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000030,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf46374-ac06-11ea-9e76-24a52ca945ea,"NE=3145770,FR=1",,0,Ph#1,สฟฟ.นนทรี,Not Match,C1
C1_EO_SBI_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57204,10.10.0.41,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000014,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf46376-ac06-11ea-9e76-24a52ca945ea,"NE=3145764,FR=1",,0,Ph#1,กฟจ.สระบุรี,Not Match,C1
C2_SS_CCA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57200,10.10.0.46,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000041,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-26,,,,,,4bf46377-ac06-11ea-9e76-24a52ca945ea,"NE=3145767,FR=1",,0,Ph#1,สฟฟ.ฉะเชิงเทรา,Not Match,C2
