,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
Count >>,674,674,674,674,674,674,674,674,674,674,674,,,,,
,1,HQ_HQ_A9K_1,HQ_HQ_A9K_1,สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),10.10.0.1,3rd-Party ICMP Device,"PE,1",HQ,HQ,,,,,
,2,C1_SS_BSA_NE40,C1_SS_BSA_NE40,สฟฟ.บางไทร,สฟฟ.บางไทร,สฟฟ.บางไทร,10.10.0.170,NE40E-X3A(V8),"PE,1",C1,BSA,,,,,
,3,C1_SS_PJA_NE40,C1_SS_PJA_NE40,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,10.10.0.171,NE40E-X3A(V8),"PE,4",C1,PJA,,,,,
,4,C1_SS_PLU_NE40,C2_SS_PLU_NE40,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,10.10.0.172,NE40E-X3A(V8),"PE,8,9,20",C2,PLU,,,,,
,5,C1_SS_BNP_NE40,New_C3_SS_BNP_NE40,สฟฟ.บ้านแพ้ว,สฟฟ.บ้านแพ้ว,สฟฟ.บ้านแพ้ว,10.10.0.173,NE40E-X3A(V8),"PE,13,21",C3,BNP,,,,,
,6,C1_SS_PAB_NE40,C1_SS_PAB_NE40,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,10.10.0.174,NetEngine 8000 M14,"PE,5,6",C1,PAB,,,,,
,7,IP Access Data Center 1,HQ_DC1_NE8KM14_1,IP Access Data Center 1,IP Access Data Center 1,IP Access Data Center 1,10.10.0.175,NetEngine 8000 M14,PE,HQ,DC1,,,,,
,8,IP Access Data Center 2,HQ_DC2_NE8KM14_1,IP Access Data Center 2,IP Access Data Center 2,IP Access Data Center 2,10.10.0.176,NetEngine 8000 M14,PE,HQ,DC2,,,,,
,9,SMC,HQ_SMC_NE8KM14_1,PE SMC 1,PE SMC 1,PE SMC 1,10.10.0.177,NetEngine 8000 M14,"PE,1",HQ,SMC,,,,,
,10,C1_SS_LLL_NE8KM14_1,C1_SS_LLL_NE8KM14_1,สฟฟ.ลำลูกกา 2,สฟฟ.ลำลูกกา 2,สฟฟ.ลำลูกกา 2,10.10.0.178,NetEngine 8000 M14,"PE,2",C1,LLL,,,,,
,11,DC9910_R1,DC9910_R1,IP Access Data Center 1,IP Access Data Center 1,IP Access Data Center 1,10.10.0.3,3rd-Party ICMP Device,"PE,1",HQ,DC1,,,,,
,12,C3_EO_SPI_A9K,C3_EO_SPI_A9K,กฟจ.สุพรรณบุรี(PE.Suphan Buri),กฟจ.สุพรรณบุรี,กฟจ.สุพรรณบุรี,10.10.0.36,3rd-Party ICMP Device,"PE,11",C3,SPI,,,,,
,13,C1_SS_OKK_NE40,C1_SS_OKA_NE40,สฟฟ.องครักษ์,สฟฟ.องครักษ์,สฟฟ.องครักษ์,10.10.0.37,NE40E-X3(V8),"PE,2,5",C1,OKA,,,,,
,14,C1_SS_NTE_NE40,C1_SS_NSI_NE40,สฟฟ.นนทรี,สฟฟ.นนทรี,สฟฟ.นนทรี,10.10.0.38,NE40E-X3(V8),"PE,5,6",C1,NSI,,,,,
,15,C1_SS_SEN_NE40,C1_SS_SNA_NE40,สฟฟ.เสนา,สฟฟ.เสนา,สฟฟ.เสนา,10.10.0.39,NE40E-X3(V8),"PE,1",C1,SNA,,,,,
,16,DC9910_R2,DC9910_R2,IP Access Data Center 2,IP Access Data Center 2,IP Access Data Center 2,10.10.0.4,3rd-Party ICMP Device,"PE,1",HQ,DC2,,,,,
,17,C1_SS_WNN_NE40,C1_SS_WYA_NE40,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,10.10.0.40,NE40E-X3(V8),"PE,6,10",C1,WYA,,,,,
,18,C1_EO_SBI_NE40,C1_EO_SBI_NE40,กฟจ.สระบุรี,กฟจ.สระบุรี,กฟจ.สระบุรี,10.10.0.41,NE40E-X3(V8),"PE,4",C1,SBI,,,,,
,19,C1_EO_RST_NE40,C1_EO_RST_NE40,กฟฟ.รังสิต,กฟฟ.รังสิต,กฟฟ.รังสิต,10.10.0.42,NE40E-X3(V8),"PE,1,2",C1,RST,,,,,
,20,C2_SS_BAB1_NE40,C2_SS_BBA_NE40,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.10.0.43,NE40E-X3(V8),"PE,8,14,20",C2,BBA,,,,,
,21,C2_SS_CTR_NE40,C2_SS_CTA_NE40,สฟฟ.จันทบุรี(ES.Chanthaburi),สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,10.10.0.44,NE40E-X3(V8),"PE,10",C2,CTA,,,,,
