SubCard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:23:16 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 3410,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,NE Type (MPU Type),Subboard Full Name,Subboard Name,Subboard Type,Subrack ID,Slot Number,Subslot Number,Hardware Version,Software Version,SN(Bar Code),Subboard Status,SubCard Alias,Description,Remarks,PN(BOM Code),Manufactured On,Model,Rev (Issue Number),Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,,3295,3295,3295,3295,3295
C2_SS_KAA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000033,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-29,,03030PNX00,,4bf722a9-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.แกลง 1,#N/A,C2
C1_EO_SBI_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bf722ab-ac06-11ea-9e76-24a52ca945ea,"NE=3145764,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,กฟจ.สระบุรี,#N/A,C1
C3_SS_BPB_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bf722af-ac06-11ea-9e76-24a52ca945ea,"NE=3145774,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บ้านโป่ง 2,#N/A,C3
C1_SS_WYA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bf722b4-ac06-11ea-9e76-24a52ca945ea,"NE=3145763,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.วังน้ำเย็น,#N/A,C1
C3_SS_KTA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bf722b6-ac06-11ea-9e76-24a52ca945ea,"NE=3145775,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.กระทุ่มแบน 1,#N/A,C3
C2_SS_CCA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV A,,030PNX10H1000064,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bf722b8-ac06-11ea-9e76-24a52ca945ea,"NE=3145767,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.ฉะเชิงเทรา,#N/A,C2
C1_EO_SBI_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bf722ba-ac06-11ea-9e76-24a52ca945ea,"NE=3145764,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,กฟจ.สระบุรี,#N/A,C1
C2_EO_BLM_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV A,,030PNX10H1000034,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bf722bc-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,กฟภ.เมืองพัทยา,#N/A,C2
C3_SS_KTA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bf722c0-ac06-11ea-9e76-24a52ca945ea,"NE=3145775,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.กระทุ่มแบน 1,#N/A,C3
C2_SS_RAC_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000010,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bf722c2-ac06-11ea-9e76-24a52ca945ea,"NE=3145768,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.ระยอง 3,#N/A,C2
C2_SS_CCA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV A,,030PNX10H1000066,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa571a-ac06-11ea-9e76-24a52ca945ea,"NE=3145767,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.ฉะเชิงเทรา,#N/A,C2
C1_EO_SBI_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000009,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa571b-ac06-11ea-9e76-24a52ca945ea,"NE=3145764,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,กฟจ.สระบุรี,#N/A,C1
C2_SS_BBA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV A,,030PNX10H1000032,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa571c-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บ้านบึง 1,#N/A,C2
C2_EO_BLM_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV A,,030PNX10H1000038,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e30-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,กฟภ.เมืองพัทยา,#N/A,C2
C2_SS_BBA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV A,,030PNX10H1000033,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e31-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บ้านบึง 1,#N/A,C2
C2_SS_CTA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e32-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.จันทบุรี,#N/A,C2
C2_SS_KAA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e33-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.แกลง 1,#N/A,C2
