report Link Table Data,,,,,,,,,,,,,,,,,,,,,,,,,,<<< อย่าลืม Filter Out สีเทาออกก่อนนะ >>>,,,revise formula,,,,,,,,,,,,,,,,,,,,,,
Save Time:2025-05-22 14:32:46 User Name:tempuno,,,,,,,Shelf1-0(GigabitEthernet0/3/0),,,,,,,,,,,,,,,,,,,,,"""=MID(H7,10,20)""","Original formula AB, AE",,,,,,,,,,,,,,,,,,,,,,
"Total 1,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source SFP Actual S/N >>> Info comparing with plan,,,,,,,Sink SFP Actual S/N >>> Info comparing with plan,,,,,,
Region,AlarmSeverity,LinkName,LinkType,NetworkProtocolType,Source NE,Source IP,Source Port,Source Port IP,SourcePortAlias,Sink NE,Sink IP,Sink Port,Sink Port IP,SinkPortAlias,LinkLevel,LinkRate(bit/s),RemainingUpstreamBandwidth(Kbit/s),RemainingDownstreamBandwidth(Kbit/s),CreationTime,Remarks,UserLabel,Owner,Weight(0-1000),Delay Time(μs),,Source NE,Source Port,So SFP-Type,Sink NE,Sink Port,Sink SFP-Type,,SFP Check,,Source-Concatatinate,Sink-Concatcatinate,,Source S/N Actual,BOQ Ph,Site Assigned,NE Assigned,Port Assigned,Match Site,Match Port,Sink S/N Actual,BOQ Ph,Site Assigned,NE Assigned,Port Assigned,Match Site,Match Port
949,,,,,949,,,,,949,,,,,,,,,,,,,,,,949,949,949,949,949,949,0,949,949,949,949,,814,949,949,949,949,949,949,949,949,949,949,949,949,949
HQ,Normal,HQ_HQ_NE8KM14_1-Shelf1-4(GigabitEthernet0/5/4)-HQ_SMC_NE8KM14_1-Shelf1-2(GigabitEthernet0/6/2),L2 Link,--,HQ_HQ_NE8KM14_1,10.10.0.184,Shelf1-4(GigabitEthernet0/5/4),10.10.29.18,HQ_HQ_NE8KM14_1 10GE0/5/4-to-HQ_SMC_NE8KM14_1 10GE0/6/2,HQ_SMC_NE8KM14_1,10.10.0.177,Shelf1-2(GigabitEthernet0/6/2),10.10.29.17,HQ_SMC_NE8M14_1_10GE0/5/2-to-ASR-HQ_TE0/1/0/3,10GE,10000000000,1000000,1000000,2025-05-20 16:58:04,,,,50,0,,สำนักงานใหญ่ กฟภ. (อสก.3),GigabitEthernet0/5/4,10GBase-LR,PE SMC 1,GigabitEthernet0/6/2,10GBase-LR,,Match,1,HQ_HQ_NE8KM14_1-GigabitEthernet0/5/4,HQ_SMC_NE8KM14_1-GigabitEthernet0/6/2,,VB4E4K0CT3Y,Ph#8,สำนักงานใหญ่ กฟภ. (อสก.3),NE8K-M14,GigabitEthernet0/5/3,Match,Not Match,8E+12,Ph#7,IP Access SMC,NE8K-M14(AC),GigabitEthernet0/5/5,Not Match,Not Match
C1,Normal,New_C1_EO_SHI_NE8K_1-Shelf1-0(GigabitEthernet0/3/0)-C1_SS_SRG_NE08_1-Shelf1-0(GigabitEthernet0/3/0),L2 Link,--,New_C1_EO_SHI_NE8K_1,10.10.50.232,Shelf1-0(GigabitEthernet0/3/0),10.10.167.5,C1_ACN4_L057=C1_EO_SHI_NE8K_1 10GE0/3/0-to-C1_EO_SRG_NE8K_1 10GE0/3/0,C1_SS_SRG_NE08_1,10.10.50.107,Shelf1-0(GigabitEthernet0/3/0),10.10.167.6,C1_SS_SRG_NE08_1 10GE0/3/0-to-C1_EO_SHI_NE08_1 10GE0/3/0,10GE,10000000000,1000000,1000000,2025-05-19 00:04:37,,,,50,0,,กฟย.เสาไห้,GigabitEthernet0/3/0,10GBase-ER,สฟฟ.สระบุรี 7,GigabitEthernet0/3/0,10GBase-ER,,Match,1,New_C1_EO_SHI_NE8K_1-GigabitEthernet0/3/0,C1_SS_SRG_NE08_1-GigabitEthernet0/3/0,,EB202000041711,Ph#4,กฟย.เสาไห้,NE8K_1,GigabitEthernet0/3/0,Match,Match,VB6E4H3504Y,Ph#8,สฟฟ.สระบุรี 7,NE08_1,GigabitEthernet0/1/0,Match,Not Match
C2,Critical,C2_ADDC_CBR_A9910_R2---C2_SS_APA_NE8KM14_1(Shelf1-2(GigabitEthernet0/5/2)),Dummy Link,--,C2_ADDC_CBR_A9910_R2,10.10.0.60,,,,C2_SS_APA_NE8KM14_1,10.10.0.183,Shelf1-2(GigabitEthernet0/5/2),10.10.29.81,C2_SS_APA_NE8KM14 10GE0/5/2-to-Cisco_IP_Access_C2_2_10GE0/0/0/4,10GE,10000000000,--,1000000,2025-04-09 14:38:13,,,tempuno,50,--,,ศจฟ.กฟก.2,,#N/A,สฟฟ.อ่าวไผ่ 1 ,GigabitEthernet0/5/2,10GBase-ZX,,#N/A,0,C2_ADDC_CBR_A9910_R2-,C2_SS_APA_NE8KM14_1-GigabitEthernet0/5/2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,VAFE2H06060,Ph#8,Acc line card spare,0,0,Not Match,Not Match
C1,Normal,C1_SS_KBM_NE08_1-Shelf1-0(GigabitEthernet0/4/0)-C1_SS_KBI_NE08_1-Shelf1-1(GigabitEthernet0/2/1),L2 Link,--,C1_SS_KBM_NE08_1,10.10.50.108,Shelf1-0(GigabitEthernet0/4/0),10.10.170.253,C1_SS_KBM_NE08_1 10GE0/4/0-to-C1_SS_KBI_NE08_1 10GE0/2/1,C1_SS_KBI_NE08_1,10.10.51.67,Shelf1-1(GigabitEthernet0/2/1),10.10.170.254,C1_SS_KBI_NE08_1 10GE0/2/1-to-C1_EO_KBM_NE08_1 10GE0/4/0,10GE,10000000000,--,--,2025-03-28 11:11:02,,,,50,0,,สฟฟ.กบินทร์บุรี 5,GigabitEthernet0/4/0,10GBase-ER,สฟฟ.กบินทร์บุรี 1,GigabitEthernet0/2/1,10GBase-ER,,Match,1,C1_SS_KBM_NE08_1-GigabitEthernet0/4/0,C1_SS_KBI_NE08_1-GigabitEthernet0/2/1,,VB6E4H3512Y,Ph#8,สฟฟ.กบินทร์บุรี 5,NE08_1,GigabitEthernet0/4/0,Match,Match,INGBS0471193,Ph#1,0,0,0,Not Match,Not Match
C1,Normal,C1_EO_PTI_NE08_1-Shelf1-0(GigabitEthernet0/3/0)-C1_EO_PTN_NE40-Shelf1-0(GigabitEthernet3/0/0),L2 Link,--,C1_EO_PTI_NE08_1,10.10.50.16,Shelf1-0(GigabitEthernet0/3/0),10.10.161.114,C1_EO_PTN_NE08_1 10GE 0/3/0-to-C1_EO_PTN_NE40 10GE3/0/0,C1_EO_PTN_NE40,10.10.0.55,Shelf1-0(GigabitEthernet3/0/0),10.10.161.113,C1_EO_PTN_NE40 10GE3/0/0-to-C1_EO_PTN_NE08_1 10GE 0/3/0,10GE,10000000000,936000,1000000,2025-03-27 11:00:57,,,,50,0,,กฟจ.ปทุมธานี,GigabitEthernet0/3/0,10GBase-SR,กฟจ.ปทุมธานี,GigabitEthernet3/0/0,10GBase-SR,,Match,1,C1_EO_PTI_NE08_1-GigabitEthernet0/3/0,C1_EO_PTN_NE40-GigabitEthernet3/0/0,,N33AAQ72586,Ph#5,กฟจ.ปทุมธานี,NE08_1,GigabitEthernet0/3/0,Match,Match,N33AAQ69396,Ph#5,กฟจ.ปทุมธานี,NE40_1A,GigabitEthernet3/0/1,Match,Not Match
C1,Normal,C1_EO_PTI_NE08_3-Shelf1-0(GigabitEthernet0/3/0)-C1_EO_PTN_NE40-Shelf1-2(GigabitEthernet3/0/2),L2 Link,--,C1_EO_PTI_NE08_3,10.10.51.212,Shelf1-0(GigabitEthernet0/3/0),10.10.161.121,C1_EO_PTN_NE08_3 10GE 0/3/0-to-C1_EO_PTN_NE40 10GE3/0/2,C1_EO_PTN_NE40,10.10.0.55,Shelf1-2(GigabitEthernet3/0/2),10.10.161.122,C1_EO_PTN_NE40 10GE3/0/2-to-C1_EO_PTN_NE08_3 10GE 0/3/0,10GE,10000000000,884000,1000000,2025-03-27 11:00:42,,,,50,0,,กฟจ.ปทุมธานี,GigabitEthernet0/3/0,10GBase-SR,กฟจ.ปทุมธานี,GigabitEthernet3/0/2,10GBase-SR,,Match,1,C1_EO_PTI_NE08_3-GigabitEthernet0/3/0,C1_EO_PTN_NE40-GigabitEthernet3/0/2,,N33AAQ74302,Ph#5,กฟจ.ปทุมธานี,NE08_3,GigabitEthernet0/3/0,Match,Match,N33AAQ69398,Ph#5,กฟจ.ปทุมธานี,NE40_1A,GigabitEthernet3/0/2,Match,Match
C1,Normal,C1_EO_PTI_NE08_2-Shelf1-0(GigabitEthernet0/3/0)-C1_EO_PTN_NE40-Shelf1-1(GigabitEthernet3/0/1),L2 Link,--,C1_EO_PTI_NE08_2,10.10.51.132,Shelf1-0(GigabitEthernet0/3/0),10.10.161.117,C1_EO_PTN_NE08_2 10GE 0/3/0-to-C1_EO_PTN_NE40 10GE3/0/1,C1_EO_PTN_NE40,10.10.0.55,Shelf1-1(GigabitEthernet3/0/1),10.10.161.118,C1_EO_PTN_NE40 10GE3/0/1-to-C1_EO_PTN_NE08_2 10GE 0/3/0,10GE,10000000000,956000,1000000,2025-03-27 10:55:40,,,,50,0,,กฟจ.ปทุมธานี,GigabitEthernet0/3/0,10GBase-SR,กฟจ.ปทุมธานี,GigabitEthernet3/0/1,10GBase-SR,,Match,1,C1_EO_PTI_NE08_2-GigabitEthernet0/3/0,C1_EO_PTN_NE40-GigabitEthernet3/0/1,,N33AAQ72167,Ph#5,กฟจ.ปทุมธานี,NE08_2,GigabitEthernet0/3/0,Match,Match,N33AAQ71348,Ph#5,กฟจ.ปทุมธานี,NE40_1A,GigabitEthernet3/0/0,Match,Not Match
C3,Normal,New_C3_SS_NPV_NE08_1-Shelf1-4(GigabitEthernet0/6/4)-C3_SS_NPU_NE08_1-Shelf1-4(GigabitEthernet0/6/4),L2 Link,--,New_C3_SS_NPV_NE08_1,10.10.54.78,Shelf1-4(GigabitEthernet0/6/4),,TeleNMS,C3_SS_NPU_NE08_1,10.10.54.68,Shelf1-4(GigabitEthernet0/6/4),,TeleNMS,FE,100000000,--,--,2025-03-22 00:17:08,,,,50,0,,สฟฟ.นครปฐม 3,GigabitEthernet0/6/4,#N/A,สฟฟ.นครปฐม 2,GigabitEthernet0/6/4,#N/A,,#N/A,0,New_C3_SS_NPV_NE08_1-GigabitEthernet0/6/4,C3_SS_NPU_NE08_1-GigabitEthernet0/6/4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C1,Normal,New_C1_SS_GUN_NE08_1-Shelf1-0(GigabitEthernet0/3/0)-C1_HQ_DRC2_NE8K_2-Shelf1-2(GigabitEthernet0/5/2),L2 Link,--,New_C1_SS_GUN_NE08_1,10.10.50.80,Shelf1-0(GigabitEthernet0/3/0),10.10.162.213,C1_ACN2_L020=C1_SS_GUN_NE08_1 10GE0/3/0-to-C1_EO_RST_NE08_4 10GE0/3/0,C1_HQ_DRC2_NE8K_2,10.10.50.102,Shelf1-2(GigabitEthernet0/5/2),10.10.162.214,C1_HQ_DRC2_NE8K_2 10GE0/5/2-to-New_C1_SS_GUN_NE08_1 10GE0/3/0,10GE,10000000000,1000000,1000000,2025-03-21 00:19:53,,,,50,0,,สฟฟ.คลองหนึ่ง (ช),GigabitEthernet0/3/0,10GBase-ER,DRC#2,GigabitEthernet0/5/2,10GBase-ER,,Match,1,New_C1_SS_GUN_NE08_1-GigabitEthernet0/3/0,C1_HQ_DRC2_NE8K_2-GigabitEthernet0/5/2,,EB200300251344,Ph#3,สฟฟ.คลองหนึ่ง (ช),NE08_1,GigabitEthernet0/4/0,Match,Not Match,VB6E4H3485Y,Ph#8,IP Access DRC#2-02,NE8K-01,GigabitEthernet0/5/2,Not Match,Match
